E,N_nu
1.1282367447595592, 5460.269179815847
1.3625154130702868, 7695.874601594245
1.6214549938347755, 9584.03706131374
1.8803945745992638, 11066.318498261864
2.127003699136872, 12866.308583215363
2.3736128236744802, 13680.399842865037
2.632552404438968, 14054.234745046977
2.8545006165228157, 13761.10218319339
3.088779284833543, 13381.448266567588
3.3600493218249117, 12658.42270384086
3.606658446362519, 11811.580216790606
3.8655980271270076, 10575.841259117664
4.124537607891496, 9868.071580062066
4.346485819975343, 8958.648287164942
4.395807644882865, 8896.378324111884
4.605425400739832, 8021.385830038131
4.864364981504318, 7084.124368032199
5.1233045622688085, 5921.644760632727
5.3822441430332955, 4882.343989990749
5.628853267570901, 4025.5520020548256
5.875462392108512, 3365.0587967695956
6.122071516646119, 2626.0871002807335
6.356350184956847, 2007.6195407106934
6.615289765721335, 1403.5427569767414
6.849568434032063, 1087.8476661836692
7.108508014796551, 765.7683141341898
7.355117139334159, 561.7566082951264
7.367447595561039, 569.5177931349243
7.577065351418007, 356.72578722431416
7.626387176325526, 356.68950919442125
7.860665844636255, 284.1666266296241
8.242909987669547, 194.55914949006657
8.748458692971642, 138.78108298001706
9.229346485819978, 126.79252663623512
9.747225647348937, 108.88253964753501
10.48705302096177, 88.45929448632326
11.485819975339146, 70.36255326696654
12.977805178791616, 60.30229521625711
14.987669543773123, 67.4963413741374
