E,N_nu
0.8495486459378134, 0.04108939484137197
1.1263791374122367, 0.3118043379032529
1.3731193580742227, 0.6296769542796283
1.6258776328986961, 0.9033610404113663
1.8726178535606819, 1.0739582517803776
2.1253761283851555, 1.1826938843038688
2.372116349047141, 1.3680186361736166
2.624874623871615, 1.4355171552950456
2.8776328986960884, 1.293884599306018
3.124373119358074, 1.2936423408664874
3.37111334002006, 1.3699832930307858
3.623871614844534, 1.0781298239342474
3.876629889669007, 0.7715488143369724
4.129388164493481, 0.7595186147544251
4.376128385155466, 0.7740038968156306
4.622868605817453, 0.685396395371682
4.875626880641925, 0.593837477085158
5.122367101303912, 0.49050243514047276
5.375125376128386, 0.31057827384953063
5.6278836509528585, 0.22196486366315415
5.874623871614845, 0.2482321781249488
6.1273821464393174, 0.10954513023606882
6.374122367101304, 0.1358124446978637
6.626880641925777, 0.05603555881192879
7.499498495486459, 0.002159645357279416
