E,N_nu
1.6243805748265598, 1.824290998766954
1.8741328047571855, 1.1510480887792847
2.1238850346878086, 1.500616522811344
2.3736372646184334, 1.5172626387176322
2.6233894945490572, 1.6744759556103572
2.873141724479683, 1.3323057953144264
3.122893954410306, 1.2361282367447592
3.3726461843409306, 1.0456226880394572
3.6223984142715544, 0.9845869297163992
3.8780971258671935, 0.9013563501849566
4.121902874132804, 0.7570900123304558
4.371655104063428, 0.6701602959309492
4.621407333994053, 0.6165228113440193
4.877106045589693, 0.5258939580764488
5.126858275520317, 0.41491985203452497
5.370664023785927, 0.33538840937114656
5.620416253716551, 0.19852034525277418
5.870168483647175, 0.07274969173859391
6.1199207135778, 0.054254007398273796
6.369672943508424, 0.06535141800246569
